director,genre,metascore,runtime,strarring,summary,title,url,userscore,year
,,,,"<a href=""/person/miyu-irino"">Miyu Irino</a>","<div class=""summary_deck details_section"">
                                <span class=""label"">Summary:</span>
                                <span>
                                    <span>A young girl, Chihiro, becomes trapped in a strange new world of spirits. When her parents undergo a mysterious transformation, she must call upon the courage she never knew she had to free herself and return her family to the outside world. [Walt Disney Studios]</span>
                                </span>
                            </div>",<h1>Spirited Away</h1>,,,"<span class=""release_year lighter"">2002</span>"
,,,,"<a href=""/person/ben-johnson"">Ben Johnson</a>,<a href=""/person/edmond-obrien"">Edmond O'Brien</a>,<a href=""/person/emilio-fernandez"">Emilio Fernández</a>,<a href=""/person/ernest-borgnine"">Ernest Borgnine</a>,<a href=""/person/jaime-sanchez"">Jaime Sánchez</a>,<a href=""/person/lq-jones"">L.Q. Jones</a>,<a href=""/person/robert-ryan"">Robert Ryan</a>,<a href=""/person/strother-martin"">Strother Martin</a>,<a href=""/person/warren-oates"">Warren Oates</a>,<a href=""/person/william-holden"">William Holden</a>","<div class=""summary_deck details_section"">
                                <span class=""label"">Summary:</span>
                                <span>
                                    <span>An aging group of outlaws look for one last big score as the ""traditional"" American West is disappearing around them.</span>
                                </span>
                            </div>",<h1>The Wild Bunch</h1>,,,"<span class=""release_year lighter"">1969</span>"
,,,,"<a href=""/person/corey-burton"">Corey Burton</a>,<a href=""/person/deems-taylor"">Deems Taylor</a>,<a href=""/person/hugh-douglas"">Hugh Douglas</a>,<a href=""/person/james-macdonald"">James MacDonald</a>,<a href=""/person/julietta-novis"">Julietta Novis</a>,<a href=""/person/leopold-stokowski"">Leopold Stokowski</a>,<a href=""/person/paul-j-smith"">Paul J. Smith</a>,<a href=""/person/tim-matheson"">Tim Matheson</a>,<a href=""/person/walt-disney"">Walt Disney</a>","<div class=""summary_deck details_section"">
                                <span class=""label"">Summary:</span>
                                <span>
                                    <span>A collection of animated interpretations of great works of Western classical music.</span>
                                </span>
                            </div>",<h1>Fantasia</h1>,,,"<span class=""release_year lighter"">1940</span>"
,,,,"<a href=""/person/adriana-caselotti"">Adriana Caselotti</a>,<a href=""/person/billy-gilbert"">Billy Gilbert</a>,<a href=""/person/eddie-collins"">Eddie Collins</a>,<a href=""/person/harry-stockwell"">Harry Stockwell</a>,<a href=""/person/lucille-la-verne"">Lucille La Verne</a>,<a href=""/person/marion-darlington"">Marion Darlington</a>,<a href=""/person/otis-harlan"">Otis Harlan</a>,<a href=""/person/pinto-colvig"">Pinto Colvig</a>,<a href=""/person/roy-atwell"">Roy Atwell</a>,<a href=""/person/stuart-buchanan"">Stuart Buchanan</a>","<div class=""summary_deck details_section"">
                                <span class=""label"">Summary:</span>
                                <span>
                                    <span>Exiled into the dangerous forest by her wicked stepmother, a princess is rescued by seven dwarf miners who make her part of their household.</span>
                                </span>
                            </div>",<h1>Snow White and the Seven Dwarfs</h1>,,,"<span class=""release_year lighter"">1938</span>"
,,,,"<a href=""/person/george-clooney"">George Clooney</a>,<a href=""/person/sandra-bullock"">Sandra Bullock</a>","<div class=""summary_deck details_section"">
                                <span class=""label"">Summary:</span>
                                <span>
                                    <span class=""inline_expand_collapse inline_collapsed"" id=""summary_blurb_539635""><span class=""blurb blurb_collapsed"">Dr. Ryan Stone (Sandra Bullock) is a brilliant medical engineer on her first shuttle mission, with veteran astronaut Matt Kowalsky (George Clooney) in command of his last flight before retiring. But on a seemingly routine spacewalk, disaster strikes. The shuttle is destroyed, leaving Stone and Kowalsky completely alone - tethered to nothing</span><span class=""blurb blurb_expanded"">Dr. Ryan Stone (Sandra Bullock) is a brilliant medical engineer on her first shuttle mission, with veteran astronaut Matt Kowalsky (George Clooney) in command of his last flight before retiring. But on a seemingly routine spacewalk, disaster strikes. The shuttle is destroyed, leaving Stone and Kowalsky completely alone - tethered to nothing but each other and spiraling out into the blackness. The deafening silence tells them they have lost any link to Earth - and any chance for rescue. As fear turns to panic, every gulp of air eats away at what little oxygen is left. But the only way home may be to go further out into the terrifying expanse of space.</span><span class=""blurb_etc"">…</span> <a rel=""nofollow"" class=""toggle_expand_collapse toggle_expand"" href=""#expand"">Expand</a></span>
                                </span>
                            </div>",<h1>Gravity</h1>,,,"<span class=""release_year lighter"">2013</span>"
,,,,"<a href=""/person/joseph-cotten"">Joseph Cotten</a>,<a href=""/person/orson-welles"">Orson Welles</a>","<div class=""summary_deck details_section"">
                                <span class=""label"">Summary:</span>
                                <span>
                                    <span>Following the death of a publishing tycoon, news reporters scramble to discover the meaning of his final utterance.</span>
                                </span>
                            </div>",<h1>Citizen Kane</h1>,,,"<span class=""release_year lighter"">1941</span>"
,,,,"<a href=""/person/daniel-day-lewis"">Daniel Day-Lewis</a>","<div class=""summary_deck details_section"">
                                <span class=""label"">Summary:</span>
                                <span>
                                    <span class=""inline_expand_collapse inline_collapsed"" id=""summary_blurb_500085""><span class=""blurb blurb_collapsed"">When Daniel Plainview gets a mysterious tip-off that there's a little town out West where an ocean of oil is oozing out of the ground, he heads there with his son, H.W., to take their chances in dust-worn Little Boston. In this hardscrabble town, where the main excitement centers around the Holy Roller church of charismatic preacher Eli</span><span class=""blurb blurb_expanded"">When Daniel Plainview gets a mysterious tip-off that there's a little town out West where an ocean of oil is oozing out of the ground, he heads there with his son, H.W., to take their chances in dust-worn Little Boston. In this hardscrabble town, where the main excitement centers around the Holy Roller church of charismatic preacher Eli Sunday, Plainview and H.W. make their lucky strike. But even as the well raises all of their fortunes, nothing will remain the same as conflicts escalate and every human value—love, hope, community, belief, ambition, and even the bond between father and son—is imperiled by corruption, deception, and the flow of oil. [Paramount Vantage]</span><span class=""blurb_etc"">…</span> <a rel=""nofollow"" class=""toggle_expand_collapse toggle_expand"" href=""#expand"">Expand</a></span>
                                </span>
                            </div>",<h1>There Will Be Blood</h1>,,,"<span class=""release_year lighter"">2007</span>"
,,,,,"<div class=""summary_deck details_section"">
                                <span class=""label"">Summary:</span>
                                <span>
                                    <span class=""inline_expand_collapse inline_collapsed"" id=""summary_blurb_500037""><span class=""blurb blurb_collapsed"">Sita is a goddess separated from her beloved Lord and husband Rama. Nina is an animator whose husband moves to India, then dumps her by email. Three hilarious shadow puppets narrate both ancient tragedy and modern comedy in this beautifully animated interpretation of the Indian epic Ramayana. Set to the 1920's jazz vocals of Annette</span><span class=""blurb blurb_expanded"">Sita is a goddess separated from her beloved Lord and husband Rama. Nina is an animator whose husband moves to India, then dumps her by email. Three hilarious shadow puppets narrate both ancient tragedy and modern comedy in this beautifully animated interpretation of the Indian epic Ramayana. Set to the 1920's jazz vocals of Annette Hanshaw, Sita Sings the Blues earns its tagline as ""the Greatest Break-Up Story Ever Told."" </span><span class=""blurb_etc"">…</span> <a rel=""nofollow"" class=""toggle_expand_collapse toggle_expand"" href=""#expand"">Expand</a></span>
                                </span>
                            </div>",<h1>Sita Sings the Blues</h1>,,,"<span class=""release_year lighter"">2009</span>"
,,,,,"<div class=""summary_deck details_section"">
                                <span class=""label"">Summary:</span>
                                <span>
                                    <span class=""inline_expand_collapse inline_collapsed"" id=""summary_blurb_544332""><span class=""blurb blurb_collapsed"">A fight on Everest? It seemed incredible. But in 2013 news channels around the world reported an ugly brawl at 21,000ft as European climbers fled a mob of angry Sherpas. In 1953, New Zealander Edmund Hillary and Sherpa Tenzing Norgay had reached the summit in a spirit of co-operation and brave optimism. Now climbers and Sherpas were trading</span><span class=""blurb blurb_expanded"">A fight on Everest? It seemed incredible. But in 2013 news channels around the world reported an ugly brawl at 21,000ft as European climbers fled a mob of angry Sherpas. In 1953, New Zealander Edmund Hillary and Sherpa Tenzing Norgay had reached the summit in a spirit of co-operation and brave optimism. Now climbers and Sherpas were trading insults - even blows. What had happened to the happy, smiling Sherpas and their dedication in getting foreigners to the top of the mountain they hold so sacred? Determined to explore what was going on, the filmmakers set out to make a film of the 2014 Everest climbing season, from the Sherpas' point of view. Instead, they captured a tragedy that would change Everest forever. At 6.45am on 18th April, 2014, a 14 million ton block of ice crashed down onto the climbing route through the Khumbu Icefall, killing 16 Sherpas. It was the worst tragedy in the history of Everest. The disaster provoked a drastic reappraisal about the role of the Sherpas in the Everest industry. </span><span class=""blurb_etc"">…</span> <a rel=""nofollow"" class=""toggle_expand_collapse toggle_expand"" href=""#expand"">Expand</a></span>
                                </span>
                            </div>",<h1>Sherpa</h1>,,,"<span class=""release_year lighter"">2015</span>"
,,,,"<a href=""/person/carey-mulligan"">Carey Mulligan</a>,<a href=""/person/garrett-hedlund"">Garrett Hedlund</a>,<a href=""/person/john-goodman"">John Goodman</a>,<a href=""/person/justin-timberlake"">Justin Timberlake</a>,<a href=""/person/oscar-isaac"">Oscar Isaac</a>","<div class=""summary_deck details_section"">
                                <span class=""label"">Summary:</span>
                                <span>
                                    <span>Llewyn Davis is at a crossroads. Guitar in tow, huddled against the unforgiving New York winter of 1961, he struggles to make it as a musician against seemingly insurmountable obstacles - some of them of his own making. </span>
                                </span>
                            </div>",<h1>Inside Llewyn Davis</h1>,,,"<span class=""release_year lighter"">2013</span>"
,,,,"<a href=""/person/amira-casar"">Amira Casar</a>,<a href=""/person/antonio-rimoldi"">Antonio Rimoldi</a>,<a href=""/person/armie-hammer"">Armie Hammer</a>,<a href=""/person/elena-bucci"">Elena Bucci</a>,<a href=""/person/esther-garrel"">Esther Garrel</a>,<a href=""/person/marco-sgrosso"">Marco Sgrosso</a>,<a href=""/person/michael-stuhlbarg"">Michael Stuhlbarg</a>,<a href=""/person/timoth"">Timoth</a>,<a href=""/person/vanda-capriolo"">Vanda Capriolo</a>,<a href=""/person/victoire-du-bois"">Victoire Du Bois</a>","<div class=""summary_deck details_section"">
                                <span class=""label"">Summary:</span>
                                <span>
                                    <span class=""inline_expand_collapse inline_collapsed"" id=""summary_blurb_546056""><span class=""blurb blurb_collapsed"">It’s the summer of 1983 in the north of Italy, and Elio Perlman (Timothée Chalamet), a precocious 17- year-old American-Italian, spends his days in his family’s 17th century villa transcribing and playing classical music, reading, and flirting with his friend Marzia (Esther Garrel). Elio enjoys a close relationship with his father (Michael</span><span class=""blurb blurb_expanded"">It’s the summer of 1983 in the north of Italy, and Elio Perlman (Timothée Chalamet), a precocious 17- year-old American-Italian, spends his days in his family’s 17th century villa transcribing and playing classical music, reading, and flirting with his friend Marzia (Esther Garrel). Elio enjoys a close relationship with his father (Michael Stuhlbarg), an eminent professor specializing in Greco-Roman culture, and his mother Annella (Amira Casar), a translator, who favor him with the fruits of high culture in a setting that overflows with natural delights. While Elio’s sophistication and intellectual gifts suggest he is already a fully-fledged adult, there is much that yet remains innocent and unformed about him, particularly about matters of the heart. One day, Oliver (Armie Hammer), a charming American scholar working on his doctorate, arrives as the annual summer intern tasked with helping Elio’s father. Amid the sun-drenched splendor of the setting, Elio and Oliver discover the heady beauty of awakening desire over the course of a summer that will alter their lives forever.</span><span class=""blurb_etc"">…</span> <a rel=""nofollow"" class=""toggle_expand_collapse toggle_expand"" href=""#expand"">Expand</a></span>
                                </span>
                            </div>",<h1>Call Me by Your Name</h1>,,,"<span class=""release_year lighter"">2017</span>"
,,,,"<a href=""/person/ben-johnson"">Ben Johnson</a>,<a href=""/person/cloris-leachman"">Cloris Leachman</a>,<a href=""/person/clu-gulager"">Clu Gulager</a>,<a href=""/person/cybill-shepherd"">Cybill Shepherd</a>,<a href=""/person/eileen-brennan"">Eileen Brennan</a>,<a href=""/person/ellen-burstyn"">Ellen Burstyn</a>,<a href=""/person/jeff-bridges"">Jeff Bridges</a>,<a href=""/person/sam-bottoms"">Sam Bottoms</a>,<a href=""/person/sharon-ullrick"">Sharon Ullrick</a>,<a href=""/person/timothy-bottoms"">Timothy Bottoms</a>","<div class=""summary_deck details_section"">
                                <span class=""label"">Summary:</span>
                                <span>
                                    <span>In 1951, a group of high schoolers come of age in a bleak, isolated, atrophied West Texas town that is slowly dying, both culturally and economically.</span>
                                </span>
                            </div>",<h1>The Last Picture Show</h1>,,,"<span class=""release_year lighter"">1971</span>"
,,,,"<a href=""/person/liam-neeson"">Liam Neeson</a>,<a href=""/person/ralph-fiennes"">Ralph Fiennes</a>","<div class=""summary_deck details_section"">
                                <span class=""label"">Summary:</span>
                                <span>
                                    <span>Steven Spielberg's epic drama tells the compelling true story of German businessman Oskar Schindler (Neeson) who comes to Nazi-occupied Poland looking for economic prosperity and leaves as a savior. (History in Film)</span>
                                </span>
                            </div>",<h1>Schindler's List</h1>,,,"<span class=""release_year lighter"">1993</span>"
,,,,"<a href=""/person/martin-sheen"">Martin Sheen</a>,<a href=""/person/sissy-spacek"">Sissy Spacek</a>","<div class=""summary_deck details_section"">
                                <span class=""label"">Summary:</span>
                                <span>
                                    <span>Loosely based on the Starkweather-Fugate killing spree of 1958, Terrence Malick's debut features follows outlaws Kit and Holly from Fort Dupre, South Dakota to the badlands of Montana.</span>
                                </span>
                            </div>",<h1>Badlands</h1>,,,"<span class=""release_year lighter"">1973</span>"
,,,,"<a href=""/person/andy-devine"">Andy Devine</a>,<a href=""/person/berton-churchill"">Berton Churchill</a>,<a href=""/person/claire-trevor"">Claire Trevor</a>,<a href=""/person/donald-meek"">Donald Meek</a>,<a href=""/person/george-bancroft"">George Bancroft</a>,<a href=""/person/john-carradine"">John Carradine</a>,<a href=""/person/john-wayne"">John Wayne</a>,<a href=""/person/louise-platt"">Louise Platt</a>,<a href=""/person/thomas-mitchell"">Thomas Mitchell</a>,<a href=""/person/tim-holt"">Tim Holt</a>","<div class=""summary_deck details_section"">
                                <span class=""label"">Summary:</span>
                                <span>
                                    <span>A group of people traveling on a stagecoach find their journey complicated by the threat of Geronimo and learn something about each other in the process.</span>
                                </span>
                            </div>",<h1>Stagecoach</h1>,,,"<span class=""release_year lighter"">1939</span>"
,,,,"<a href=""/person/john-slattery"">John Slattery</a>,<a href=""/person/liev-schreiber"">Liev Schreiber</a>,<a href=""/person/mark-ruffalo"">Mark Ruffalo</a>,<a href=""/person/michael-keaton"">Michael Keaton</a>,<a href=""/person/rachel-mcadams"">Rachel McAdams</a>,<a href=""/person/stanley-tucci"">Stanley Tucci</a>","<div class=""summary_deck details_section"">
                                <span class=""label"">Summary:</span>
                                <span>
                                    <span class=""inline_expand_collapse inline_collapsed"" id=""summary_blurb_544177""><span class=""blurb blurb_collapsed"">Spotlight tells the riveting true story of the Pulitzer Prize-winning Boston Globe investigation that would rock the city and cause a crisis in one of the world’s oldest and most trusted institutions. When the newspaper’s tenacious “Spotlight” team of reporters delve into allegations of abuse in the Catholic Church, their year-long</span><span class=""blurb blurb_expanded"">Spotlight tells the riveting true story of the Pulitzer Prize-winning Boston Globe investigation that would rock the city and cause a crisis in one of the world’s oldest and most trusted institutions. When the newspaper’s tenacious “Spotlight” team of reporters delve into allegations of abuse in the Catholic Church, their year-long investigation uncovers a decades-long cover-up at the highest levels of Boston's religious, legal, and government establishment, touching off a wave of revelations around the world. [Open Road Films]</span><span class=""blurb_etc"">…</span> <a rel=""nofollow"" class=""toggle_expand_collapse toggle_expand"" href=""#expand"">Expand</a></span>
                                </span>
                            </div>",<h1>Spotlight</h1>,,,"<span class=""release_year lighter"">2015</span>"
,,,,"<a href=""/person/nien-jen-wu"">Nien-Jen Wu</a>","<div class=""summary_deck details_section"">
                                <span class=""label"">Summary:</span>
                                <span>
                                    <span>This film portrays life through portraits of the individual members of a Taiwanese family, each representing a stage from birth to death.  [WinStar Cinema]</span>
                                </span>
                            </div>",<h1>Yi Yi</h1>,,,"<span class=""release_year lighter"">2000</span>"
,,,,"<a href=""/person/emma-stone"">Emma Stone</a>,<a href=""/person/jk-simmons"">J.K. Simmons</a>,<a href=""/person/rosemarie-dewitt"">Rosemarie DeWitt</a>,<a href=""/person/ryan-gosling"">Ryan Gosling</a>","<div class=""summary_deck details_section"">
                                <span class=""label"">Summary:</span>
                                <span>
                                    <span class=""inline_expand_collapse inline_collapsed"" id=""summary_blurb_543909""><span class=""blurb blurb_collapsed"">Mia (Emma Stone), an aspiring actress, serves lattes to movie stars in between auditions, and Sebastian (Ryan Gosling), a dedicated jazz musician, scrapes by playing cocktail piano gigs in dingy bars, but as success mounts they are faced with decisions that begin to fray the fragile fabric of their love affair, and the dreams they worked so</span><span class=""blurb blurb_expanded"">Mia (Emma Stone), an aspiring actress, serves lattes to movie stars in between auditions, and Sebastian (Ryan Gosling), a dedicated jazz musician, scrapes by playing cocktail piano gigs in dingy bars, but as success mounts they are faced with decisions that begin to fray the fragile fabric of their love affair, and the dreams they worked so hard to maintain in each other threaten to rip them apart.</span><span class=""blurb_etc"">…</span> <a rel=""nofollow"" class=""toggle_expand_collapse toggle_expand"" href=""#expand"">Expand</a></span>
                                </span>
                            </div>",<h1>La La Land</h1>,,,"<span class=""release_year lighter"">2016</span>"
,,,,"<a href=""/person/chico-marx"">Chico Marx</a>,<a href=""/person/edmund-breese"">Edmund Breese</a>,<a href=""/person/groucho-marx"">Groucho Marx</a>,<a href=""/person/harpo-marx"">Harpo Marx</a>,<a href=""/person/leonid-kinskey"">Leonid Kinskey</a>,<a href=""/person/louis-calhern"">Louis Calhern</a>,<a href=""/person/margaret-dumont"">Margaret Dumont</a>,<a href=""/person/raquel-torres"">Raquel Torres</a>,<a href=""/person/the-marx-brothers"">The Marx Brothers</a>,<a href=""/person/zeppo-marx"">Zeppo Marx</a>","<div class=""summary_deck details_section"">
                                <span class=""label"">Summary:</span>
                                <span>
                                    <span>Rufus T. Firefly is named president/dictator of bankrupt Freedonia and declares war on neighboring Sylvania over the love of wealthy Mrs. Teasdale.</span>
                                </span>
                            </div>",<h1>Duck Soup</h1>,,,"<span class=""release_year lighter"">1933</span>"
